billing_account_id,billing_account_name,billing_account_bridge_id,customer_segment,created_date
bill_000001,Billing Account A,bridge_000001,Small,2025-10-15
bill_000002,Billing Account B,bridge_000002,Small,2025-08-07
bill_000003,Billing Account C,bridge_000003,Small,2025-09-09
bill_000004,Billing Account D,bridge_000004,Small,2025-01-23
bill_000005,Billing Account E,bridge_000005,Small,2026-04-17
bill_000006,Billing Account F,bridge_000006,Medium,2024-11-26
bill_000007,Billing Account G,bridge_000007,Small,2026-01-06
bill_000008,Billing Account H,bridge_000008,Large,2025-04-06
bill_000009,Billing Account I,bridge_000009,Medium,2025-06-24
bill_000010,Billing Account J,bridge_000010,Small,2026-01-25
bill_000011,Billing Account K,bridge_000011,Medium,2026-03-17
bill_000012,Billing Account L,bridge_000012,Small,2024-10-16
bill_000013,Billing Account M,bridge_000013,Small,2025-09-19
bill_000014,Billing Account N,bridge_000014,Small,2025-09-06
bill_000015,Billing Account O,bridge_000015,Small,2024-10-30
bill_000016,Billing Account P,bridge_000016,Small,2025-11-08
bill_000017,Billing Account Q,bridge_000017,Small,2024-12-05
bill_000018,Billing Account R,bridge_000018,Large,2025-06-21
bill_000019,Billing Account S,bridge_000019,Small,2025-05-16
bill_000020,Billing Account T,bridge_000020,Medium,2025-06-20
bill_000021,Billing Account U,bridge_000021,Large,2025-03-20
bill_000022,Billing Account V,bridge_000022,Small,2025-12-22
bill_000023,Billing Account W,bridge_000023,Small,2024-10-24
bill_000024,Billing Account X,bridge_000024,Small,2025-09-30
bill_000025,Billing Account Y,bridge_000025,Small,2025-04-11
bill_000026,Billing Account Z,bridge_000026,Medium,2025-07-08
bill_000027,Billing Account AA,bridge_000027,Small,2025-09-11
bill_000028,Billing Account AB,bridge_000028,Small,2025-02-09
bill_000029,Billing Account AC,bridge_000029,Small,2025-06-15
bill_000030,Billing Account AD,bridge_000030,Small,2025-07-14
bill_000031,Billing Account AE,bridge_000031,Small,2025-02-11
bill_000032,Billing Account AF,bridge_000032,Small,2025-04-11
bill_000033,Billing Account AG,bridge_000033,Small,2025-09-08
bill_000034,Billing Account AH,bridge_000034,Small,2024-07-22
bill_000035,Billing Account AI,bridge_000035,Small,2024-07-30
bill_000036,Billing Account AJ,bridge_000036,Unknown,2025-04-26
bill_000037,Billing Account AK,bridge_000037,Small,2025-07-31
bill_000038,Billing Account AL,bridge_000038,Small,2026-04-07
bill_000039,Billing Account AM,bridge_000039,Small,2025-06-21
bill_000040,Billing Account AN,bridge_000040,Small,2024-09-23
bill_000041,Billing Account AO,bridge_000041,Small,2024-06-24
bill_000042,Billing Account AP,bridge_000042,Small,2025-05-30
bill_000043,Billing Account AQ,bridge_000043,Large,2026-03-18
bill_000044,Billing Account AR,bridge_000044,Small,2024-08-21
bill_000045,Billing Account AS,bridge_000045,Small,2025-04-06
bill_000046,Billing Account AT,bridge_000046,Small,2025-08-05
bill_000047,Billing Account AU,bridge_000047,Small,2025-02-14
bill_000048,Billing Account AV,bridge_000048,Small,2025-12-27
bill_000049,Billing Account AW,bridge_000049,Small,2025-11-09
bill_000050,Billing Account AX,bridge_000050,Small,2024-09-15
bill_000051,Billing Account AY,bridge_000051,Small,2025-09-03
bill_000052,Billing Account AZ,bridge_000052,Small,2025-11-18
bill_000053,Billing Account BA,bridge_000053,Small,2025-05-06
bill_000054,Billing Account BB,bridge_000054,Small,2024-11-15
bill_000055,Billing Account BC,bridge_000055,Small,2026-02-04
bill_000056,Billing Account BD,bridge_000056,Small,2024-10-16
bill_000057,Billing Account BE,bridge_000057,Medium,2025-02-02
bill_000058,Billing Account BF,bridge_000058,Small,2025-10-02
bill_000059,Billing Account BG,bridge_000059,Small,2026-02-09
bill_000060,Billing Account BH,bridge_000060,Small,2026-02-28
bill_000061,Billing Account BI,bridge_000061,Small,2025-01-23
bill_000062,Billing Account BJ,bridge_000062,Small,2026-02-09
bill_000063,Billing Account BK,bridge_000063,Small,2025-06-08
bill_000064,Billing Account BL,bridge_000064,Small,2025-06-27
bill_000065,Billing Account BM,bridge_000065,Small,2025-04-13
bill_000066,Billing Account BN,bridge_000066,Medium,2026-01-26
bill_000067,Billing Account BO,bridge_000067,Small,2024-07-09
bill_000068,Billing Account BP,bridge_000068,Small,2024-11-02
bill_000069,Billing Account BQ,bridge_000069,Small,2026-02-09
bill_000070,Billing Account BR,bridge_000070,Small,2025-10-03
bill_000071,Billing Account BS,bridge_000071,Small,2025-03-01
bill_000072,Billing Account BT,bridge_000072,Medium,2025-04-10
bill_000073,Billing Account BU,bridge_000073,Small,2025-04-26
bill_000074,Billing Account BV,bridge_000074,Small,2025-10-02
bill_000075,Billing Account BW,bridge_000075,Small,2024-07-12
bill_000076,Billing Account BX,bridge_000076,Small,2025-09-20
bill_000077,Billing Account BY,bridge_000077,Small,2026-02-16
bill_000078,Billing Account BZ,bridge_000078,Small,2025-05-03
bill_000079,Billing Account CA,bridge_000079,Small,2024-02-25
bill_000080,Billing Account CB,bridge_000080,Medium,2026-04-11
bill_000081,Billing Account CC,bridge_000081,Small,2026-04-09
bill_000082,Billing Account CD,bridge_000082,Small,2024-11-05
bill_000083,Billing Account CE,bridge_000083,Small,2025-10-14
bill_000084,Billing Account CF,bridge_000084,Medium,2026-04-02
bill_000085,Billing Account CG,bridge_000085,Small,2025-03-09
bill_000086,Billing Account CH,bridge_000086,Small,2025-12-13
bill_000087,Billing Account CI,bridge_000087,Small,2024-11-10
bill_000088,Billing Account CJ,bridge_000088,Medium,2025-09-13
bill_000089,Billing Account CK,bridge_000089,Small,2025-07-18
bill_000090,Billing Account CL,bridge_000090,Medium,2025-06-28
bill_000091,Billing Account CM,bridge_000091,Medium,2025-10-30
bill_000092,Billing Account CN,bridge_000092,Small,2025-06-15
bill_000093,Billing Account CO,bridge_000093,Small,2025-11-28
