period_name,customer_segment,total_accounts,ending_arr,arr_change,avg_active_users,total_activity,total_meetings,healthy,at_risk,under_adopted,expansion_ready
last_month,Large,109,19180320.0,-524160.0,3.54,43777.0,2094.0,51,23,1,43
last_quarter,Large,96,16529880.0,489360.0,3.82,42760.0,1961.0,48,15,1,46
last_year,Large,46,26986440.0,-640920.0,2.34,109497.0,5855.0,30,11,4,30
this_month,Large,107,19282080.0,-199920.0,6.29,38175.0,1678.0,53,24,2,53
this_quarter,Large,107,19282080.0,-199920.0,6.29,38175.0,1678.0,53,24,2,53
this_year,Large,119,73548360.0,-145440.0,4.32,170447.0,7761.0,74,42,4,72
last_month,Medium,645,25671600.0,-31080.0,1.71,48786.0,2183.0,286,184,12,189
last_quarter,Medium,598,22848720.0,71040.0,1.72,45171.0,2010.0,264,161,11,197
last_year,Medium,334,41699640.0,-305640.0,1.57,164050.0,8904.0,128,111,14,114
this_month,Medium,647,25057800.0,-28080.0,2.68,55268.0,2362.0,295,172,21,195
this_quarter,Medium,647,25057800.0,-28080.0,2.68,55268.0,2362.0,295,172,21,195
this_year,Medium,728,97962360.0,355920.0,1.96,192912.0,8444.0,431,333,50,332
last_month,Small,2317,7264920.0,-74760.0,0.81,35164.0,1534.0,805,909,30,347
last_quarter,Small,2165,6955200.0,-39120.0,0.78,33298.0,1451.0,711,812,25,345
last_year,Small,1103,12610800.0,33720.0,0.64,117872.0,6093.0,387,456,29,306
this_month,Small,2336,7301160.0,-3120.0,1.2,41642.0,1656.0,949,841,49,338
this_quarter,Small,2336,7301160.0,-3120.0,1.2,41642.0,1656.0,949,841,49,338
this_year,Small,2587,28659840.0,-140760.0,0.9,145111.0,6150.0,1399,1473,119,749
last_month,Unknown,30,98040.0,240.0,0.5,96.0,7.0,10,8,1,3
last_quarter,Unknown,24,87720.0,2280.0,0.29,62.0,2.0,6,14,0,2
last_year,Unknown,9,121680.0,-8640.0,0.36,305.0,18.0,1,8,0,1
this_month,Unknown,30,91680.0,-2520.0,0.67,111.0,3.0,9,12,0,1
this_quarter,Unknown,30,91680.0,-2520.0,0.67,111.0,3.0,9,12,0,1
this_year,Unknown,32,369960.0,360.0,0.49,318.0,13.0,13,17,1,4
last_month,overall,3101,52214880.0,-629760.0,1.09,127823.0,5818.0,1152,1124,44,582
last_quarter,overall,2883,46421520.0,523560.0,1.07,121291.0,5424.0,1029,1002,37,590
last_year,overall,1492,81418560.0,-921480.0,0.89,391724.0,20870.0,546,586,47,451
this_month,overall,3120,51732720.0,-233640.0,1.67,135196.0,5699.0,1306,1049,72,587
this_quarter,overall,3120,51732720.0,-233640.0,1.67,135196.0,5699.0,1306,1049,72,587
this_year,overall,3466,200540520.0,70080.0,1.23,508788.0,22368.0,1917,1865,174,1157
